,analysis_type,LBGI,LBGI,LBGI,LBGI,LBGI,LBGI,LBGI,LBGI
,,count,mean,std,min,25%,50%,75%,max
0,correction_bolus,26610.0,0.42,0.79,0.0,0.0,0.12,0.58,21.16
1,meal_bolus,26610.0,0.3,0.54,0.0,0.0,0.0,0.4,8.77
2,temp_basal_only,26610.0,3.92,19.18,0.0,0.1,0.59,1.59,408.17
